Card ID           Card Name             Expansion   Collection No.       Link
  75            Iron Leaves ex            TEF            25          View Image
  76                Slugma                TEF            28          View Image
  77                 Litten               TEF            32          View Image
  78               Torracat               TEF            33          View Image
  79             Incineroar ex            TEF            34          View Image
  80             Iron Crown ex            TEF            81          View Image
  81                Drilbur               TEF            85          View Image
  82               Excadrill              TEF            86          View Image
  83              Farigiraf ex            TEF            108         View Image
  84               Scizor ex              TEF            111         View Image
  85                Beldum                TEF            113         View Image
  86                Metang                TEF            114         View Image
  87               Miraidon               TEF            121         View Image
  88                Volbeat               TWM             9          View Image
  89               Grookey                TWM            14          View Image
  90               Thwackey               TWM            15          View Image
  91               Rillaboom              TWM            16          View Image
  92                Applin                TWM            17          View Image
  93                Dipplin               TWM            18          View Image
  94               Sinistcha              TWM            22          View Image
  95          Teal Mask Ogerpon           TWM            24          View Image
  96         Teal Mask Ogerpon ex         TWM            25          View Image
  97                Litwick               TWM            36          View Image
  98              Chandelure              TWM            38          View Image
  99      Hearthflame Mask Ogerpon ex     TWM            40          View Image
Card ID           Card Name             Expansion   Collection No.       Link


 100               Goldeen                TWM            44          View Image
 101                 Jynx                 TWM            46          View Image
 102                Milotic               TWM            50          View Image
 103                Snorunt               TWM            51          View Image
 104               Froslass               TWM            53          View Image
 105                Finizen               TWM            59          View Image
 106                Palafin               TWM            60          View Image
 107               Palafin ex             TWM            61          View Image
 108      Wellspring Mask Ogerpon ex      TWM            64          View Image
 109                 Abra                 TWM            80          View Image
 110                Slurpuff              TWM            90          View Image
 111              Sandygast               TWM            91          View Image
 112               Munkidori              TWM            95          View Image
 113                Timburr               TWM            103         View Image
 114                Gurdurr               TWM            104         View Image
 115              Conkeldurr              TWM            105         View Image
 116                Okidogi               TWM            111         View Image
 117      Cornerstone Mask Ogerpon ex     TWM            112         View Image
 118                Heatran               TWM            123         View Image
 119                Dreepy                TWM            128         View Image
 120               Drakloak               TWM            129         View Image
 121             Dragapult ex             TWM            130         View Image
 122               Tatsugiri              TWM            131         View Image
 123               Farfetch'd             TWM            132         View Image
 124               Chansey                TWM            133         View Image
 125               Blissey ex             TWM            134         View Image
 126              Galvantula              SFA             2          View Image
 127                Rowlet                SFA             3          View Image
 128                Dartrix               SFA             4          View Image
 129              Decidueye               SFA             5          View Image
 130             Revavroom ex             SFA            15          View Image
 131                Duskull               SFA            18          View Image
 132               Dusclops               SFA            19          View Image
Card ID       Card Name        Expansion   Collection No.       Link


 133           Dusknoir          SFA            20          View Image
 134           Sylveon           SFA            22          View Image
 135      Bloodmoon Ursaluna     SFA            25          View Image
 136             Zorua           SFA            31          View Image
 137            Zoroark          SFA            32          View Image
 138          Okidogi ex         SFA            36          View Image
 139         Munkidori ex        SFA            37          View Image
 140         Fezandipiti ex      SFA            38          View Image
 141         Pecharunt ex        SFA            39          View Image
 142           Genesect          SFA            40          View Image
 143            Varoom           SFA            43          View Image
 144            Kyurem           SFA            47          View Image
 145            Eevee            SFA            50          View Image
 146            Lileep           SCR             5          View Image
 147            Cradily          SCR             6          View Image
 148         Mow Rotom           SCR             8          View Image
 149            Applin           SCR            12          View Image
 150         Hydrapple ex        SCR            14          View Image
 151          Scorbunny          SCR            26          View Image
 152            Raboot           SCR            27          View Image
 153         Cinderace ex        SCR            28          View Image
 154           Lapras ex         SCR            32          View Image
 155          Carracosta         SCR            38          View Image
 156         Crabominable        SCR            42          View Image
 157           Chewtle           SCR            43          View Image
 158           Drednaw           SCR            44          View Image
 159            Veluza           SCR            45          View Image
 160             Joltik          SCR            50          View Image
 161         Galvantula ex       SCR            51          View Image
 162           Slowpoke          SCR            57          View Image
 163           Slowking          SCR            58          View Image
 164            Comfey           SCR            63          View Image
 165             Klink           SCR            99          View Image
Card ID      Card Name          Expansion   Collection No.       Link


 166            Klang             SCR            100         View Image
 167           Klinklang          SCR            101         View Image
 168            Meltan            SCR            103         View Image
 169          Duraludon           SCR            106         View Image
 170          Archaludon          SCR            107         View Image
 171          Raging Bolt         SCR            111         View Image
 172           Hoothoot           SCR            114         View Image
 173           Noctowl            SCR            115         View Image
 174          Fan Rotom           SCR            118         View Image
 175          Bouffalant          SCR            119         View Image
 176         Terapagos ex         SCR            128         View Image
 177          Exeggcute           SSP             1          View Image
 178            Zarude            SSP            11          View Image
 179       Black Kyurem ex        SSP            48          View Image
 180           Bruxish            SSP            49          View Image
 181           Quaxwell           SSP            51          View Image
 182          Quaquaval           SSP            52          View Image
 183          Smoochum            SSP            75          View Image
 184           Latias ex          SSP            76          View Image
 185            Flittle           SSP            94          View Image
 186         Gimmighoul           SSP            97          View Image
 187           Trapinch           SSP            104         View Image
 188           Vibrava            SSP            105         View Image
 189          Flygon ex           SSP            106         View Image
 190        Archaludon ex         SSP            130         View Image
 191          Gholdengo           SSP            131         View Image
 192          Iron Crown          SSP            132         View Image
 193      Alolan Exeggutor ex     SSP            133         View Image
 194            Altaria           SSP            134         View Image
 195            Dialga            SSP            135         View Image
 196          Turtonator          SSP            137         View Image
 197            Swablu            SSP            148         View Image
 198          Durant ex           SSP             4          View Image
Card ID   Card Name       Expansion   Collection No.       Link


 199       Scatterbug       SSP             5          View Image
 200        Spewpa          SSP             6          View Image
 201       Wo-Chien         SSP            15          View Image
 202         Victini        SSP            21          View Image
 203       Skeledirge       SSP            31          View Image
 204       Charcadet        SSP            33          View Image
 205      Scovillain ex     SSP            37          View Image
 206        Feebas          SSP            41          View Image
 207       Milotic ex       SSP            42          View Image
 208        Shellos         SSP            46          View Image
 209       Chien-Pao        SSP            56          View Image
 210       Pikachu ex       SSP            57          View Image
 211       Magneton         SSP            59          View Image
 212         Rotom          SSP            61          View Image
 213       Tapu Koko        SSP            65          View Image
 214       Togekiss         SSP            72          View Image
 215          Uxie          SSP            78          View Image
 216        Mesprit         SSP            79          View Image
 217         Azelf          SSP            80          View Image
 218        Yamask          SSP            82          View Image
 219       Cofagrigus       SSP            83          View Image
 220         Espurr         SSP            84          View Image
 221       Meowstic         SSP            85          View Image
 222       Dedenne          SSP            87          View Image
 223      PalossandEX       SSP            91          View Image
 224       Annihilape       SSP            100         View Image
 225       Gastrodon        SSP            107         View Image
 226       Koraidon         SSP            116         View Image
 227         Deino          SSP            117         View Image
 228       Zweilous         SSP            118         View Image
 229      Hydreigon ex      SSP            119         View Image
 230       Pecharunt        SVP            149         View Image
 231      Tatsugiri ex      SSP            142         View Image
Card ID    Card Name       Expansion   Collection No.       Link


 232        Slaking ex       SSP            147         View Image
 233        Bouffalant       SSP            151         View Image
 234        Terapagos        SSP            161         View Image
 235         Budew           PRE             4          View Image
 236       Leafeon ex        PRE             6          View Image
 237        Cottonee         PRE             7          View Image
 238        Whimsicott       PRE             8          View Image
 239        Flareon ex       PRE            14          View Image
 240         Seaking         PRE            21          View Image
 241       Vaporeon ex       PRE            23          View Image
 242         Feebas          TWM            49          View Image
 243       Glaceon ex        PRE            26          View Image
 244        Jolteon ex       PRE            30          View Image
 245        Alakazam         TWM            82          View Image
 246        Espeon ex        PRE            34          View Image
 247          Swirlix        TWM            89          View Image
 248       Umbreon ex        PRE            60          View Image
 249        Eevee ex         PRE            75          View Image
 250        Hoothoot         PRE            77          View Image
 251        Regigigas        PRE            86          View Image
 252         Caterpie        JTG             1          View Image
 253         Metapod         JTG             2          View Image
 254        Butterfree       JTG             3          View Image
 255        Maractus         JTG             8          View Image
 256        Magmortar        JTG            21          View Image
 257      N’s Darumaka       JTG            26          View Image
 258      N’s Darmanitan     JTG            27          View Image
 259       Volcanion ex      JTG            31          View Image
 260          Lotad          JTG            35          View Image
 261         Lombre          JTG            36          View Image
 262         Ludicolo        JTG            37          View Image
 263         Wailmer         JTG            40          View Image
 264         Wailord         JTG            41          View Image
Card ID      Card Name           Expansion   Collection No.       Link


 265        Iono’s Voltorb         JTG            47          View Image
 266       Iono’s Electrode        JTG            48          View Image
 267           N’s Joltik          JTG            49          View Image
 268       Iono’s Tadbulb          JTG            52          View Image
 269      Iono’s Bellibolt ex      JTG            53          View Image
 270        Iono’s Wattrel         JTG            54          View Image
 271      Iono’s Kilowattrel       JTG            55          View Image
 272      Lillie’s Clefairy ex     JTG            56          View Image
 273           Banette             JTG            60          View Image
 274           Beldum              JTG            61          View Image
 275            Metang             JTG            62          View Image
 276          Metagross            JTG            63          View Image
 277         N’s Sigilyph          JTG            64          View Image
 278        Lillie’s Cutiefly      JTG            66          View Image
 279      Lillie’s Ribombee        JTG            67          View Image
 280       Lillie’s Comfey         JTG            68          View Image
 281            Swinub             JTG            77          View Image
 282          Piloswine            JTG            78          View Image
 283       Mamoswine ex            JTG            79          View Image
 284            Larvitar           JTG            80          View Image
 285            Pupitar            JTG            81          View Image
 286           Rockruff            JTG            84          View Image
 287           Lycanroc            JTG            85          View Image
 288       Hop’s Silicobra         JTG            86          View Image
 289      Hop’s Sandaconda         JTG            87          View Image
 290           Tyranitar           JTG            95          View Image
 291         N’s Purrloin          JTG            96          View Image
 292          N’s Zorua            JTG            97          View Image
 293       N’s Zoroark ex          JTG            98          View Image
 294           N’s Klink           JTG            103         View Image
 295          N’s Klang            JTG            104         View Image
 296        N’s Klinklang          JTG            105         View Image
 297          Magearna             JTG            107         View Image
Card ID     Card Name         Expansion   Collection No.       Link


 298      Hop’s Corviknight     JTG            108         View Image
 299      Hop’s Zacian ex       JTG            111         View Image
 300           Bagon            JTG            112         View Image
 301          Shelgon           JTG            113         View Image
 302       Salamence ex         JTG            114         View Image
 303        N’s Reshiram        JTG            116         View Image
 304       Hop’s Snorlax        JTG            117         View Image
 305         Dunsparce          JTG            120         View Image
 306      Dudunsparce ex        JTG            121         View Image
 307      Hop’s Rookidee        JTG            133         View Image
 308      Hop’s Corvisquire     JTG            134         View Image
 309       Hop’s Wooloo         JTG            135         View Image
 310       Hop’s Dubwool        JTG            136         View Image
 311      Hop’s Cramorant       JTG            138         View Image
 312       Sandy Shocks         TEF            98          View Image
 313        Miraidon ex         TEF            122         View Image
 314           Marill           SCR            33          View Image
 315          Azumarill         SSP            74          View Image
 316         Sylveon ex         SSP            86          View Image
 317           Eevee            SSP            143         View Image
 318           Ho-Oh            SSP            19          View Image
 319         Charcadet          SSP            32          View Image
 320        Ceruledge ex        SSP            36          View Image
 321           Petilil          JTG             6          View Image
 322          Lilligant         JTG             7          View Image
 323          Nymble            JTG            19          View Image
 324          Torchic           JTG            22          View Image
 325        Combusken           JTG            23          View Image
 326        Blaziken ex         JTG            24          View Image
 327         Slowpoke           PRE            18          View Image
 328         Pikachu ex         PRE            28          View Image
 329       Tapu Koko ex         JTG            51          View Image
 330          Sylveon           PRE            40          View Image
Card ID         Card Name            Expansion   Collection No.       Link


 331             XerneasEX            PROMO           179         View Image
 332              Dhelmise             JTG            70          View Image
 333                Riolu              PRE            50          View Image
 334              Sneasel              PRE            61          View Image
 335              Bronzor              PRE            66          View Image
 336              Zacian ex            SVP            198         View Image
 337              LugiaEX              PRE            82          View Image
 338            Ethan's Pinsir         DRI             1          View Image
 339               Yanma               DRI             2          View Image
 340            Yanmega ex             DRI             3          View Image
 341          Cynthia's Roselia        DRI             7          View Image
 342         Cynthia's Roserade        DRI             8          View Image
 343              Shaymin              DRI            10          View Image
 344              Dwebble              DRI            11          View Image
 345               Crustle             DRI            12          View Image
 346               Applin              DRI            16          View Image
 347               Dipplin             DRI            17          View Image
 348             Hydrapple             DRI            18          View Image
 349         Teal Mask Ogerpon         DRI            26          View Image
 350               Ponyta              DRI            29          View Image
 351              Rapidash             DRI            30          View Image
 352          Ethan's Cyndaquil        DRI            32          View Image
 353           Ethan's Quilava         DRI            33          View Image
 354         Ethan's Typhlosion        DRI            34          View Image
 355           Ethan's Slugma          DRI            35          View Image
 356          Ethan's Magcargo         DRI            36          View Image
 357          Ethan's Ho-Oh ex         DRI            39          View Image
 358      Hearthflame Mask Ogerpon     DRI            44          View Image
 359           Misty's Psyduck         DRI            45          View Image
 360           Misty's Staryu          DRI            46          View Image
 361           Misty's Starmie         DRI            47          View Image
 362          Misty's Magikarp         DRI            48          View Image
 363          Misty's Gyarados         DRI            49          View Image
Card ID          Card Name           Expansion   Collection No.       Link


 364           Misty's Lapras          DRI            50          View Image
 365          Cynthia's Feebas         DRI            52          View Image
 366           Cynthia's Milotic       DRI            53          View Image
 367                Buizel             DRI            57          View Image
 368               Floatzel            DRI            58          View Image
 369             Dondozo ex            DRI            66          View Image
 370      Wellspring Mask Ogerpon      DRI            67          View Image
 371             Electabuzz            DRI            68          View Image
 372             Electivire ex         DRI            69          View Image
 373            Ethan's Pichu          DRI            71          View Image
 374              Electrike            DRI            75          View Image
 375              Manectric            DRI            76          View Image
 376                Rotom              DRI            77          View Image
 377               Zeraora             DRI            78          View Image
 378         Ethan's Sudowoodo         DRI            93          View Image
 379           Cynthia's Gible         DRI            102         View Image
 380          Cynthia's Gabite         DRI            103         View Image
 381       Cynthia's Garchomp ex       DRI            104         View Image
 382              Mudbray              DRI            107         View Image
 383              Mudsdale             DRI            108         View Image
 384          Arven's Toedscool        DRI            109         View Image
 385         Arven's Toedscruel        DRI            110         View Image
 386      Cornerstone Mask Ogerpon     DRI            111         View Image
 387         Cynthia's Spiritomb       DRI            129         View Image
 388          Arven's Maschiff         DRI            138         View Image
 389        Arven's Mabosstiff ex      DRI            139         View Image
 390               Tauros              DRI            152         View Image
 391          Arven's Skwovet          DRI            158         View Image
 392          Arven's Greedent         DRI            159         View Image
 393               Pineco              DRI             4          View Image
 394             Shroomish             DRI             5          View Image
 395               Breloom             DRI             6          View Image
 396             Mow Rotom             DRI             9          View Image
Card ID         Card Name            Expansion   Collection No.       Link


 397             Fomantis              DRI            13          View Image
 398              Lurantis             DRI            14          View Image
 399       Team Rocket's Blipbug       DRI            15          View Image
 400      Team Rocket's Tarountula     DRI            19          View Image
 401       Team Rocket's Spidops       DRI            20          View Image
 402              Smoliv               DRI            21          View Image
 403               Dolliv              DRI            22          View Image
 404            Arboliva ex            DRI            23          View Image
 405             Growlithe             DRI            27          View Image
 406             Arcanine              DRI            28          View Image
 407      Team Rocket's Moltres ex     DRI            31          View Image
 408      Team Rocket's Houndour       DRI            37          View Image
 409      Team Rocket's Houndoom       DRI            38          View Image
 410              Torchic              DRI            40          View Image
 411            Combusken              DRI            41          View Image
 412              Blaziken             DRI            42          View Image
 413            Heat Rotom             DRI            43          View Image
 414       Team Rocket's Articuno      DRI            51          View Image
 415             Clamperl              DRI            54          View Image
 416              Huntail              DRI            55          View Image
 417             Gorebyss              DRI            56          View Image
 418              Snover               DRI            59          View Image
 419            Abomasnow              DRI            60          View Image
 420            Wash Rotom             DRI            61          View Image
 421             Arrokuda              DRI            62          View Image
 422            Barraskewda            DRI            63          View Image
 423             Cetoddle              DRI            64          View Image
 424             Cetitan ex            DRI            65          View Image
 425       Team Rocket's Zapdos        DRI            70          View Image
 426       Team Rocket's Mareep        DRI            72          View Image
 427       Team Rocket's Flaaffy       DRI            73          View Image
 428      Team Rocket's Ampharos       DRI            74          View Image
 429      Team Rocket's Drowzee        DRI            79          View Image
Card ID          Card Name            Expansion   Collection No.       Link


 430        Team Rocket's Hypno         DRI            80          View Image
 431      Team Rocket's Mewtwo ex       DRI            81          View Image
 432      Team Rocket's Wobbuffet       DRI            82          View Image
 433       Team Rocket's Chingling      DRI            85          View Image
 434       Team Rocket's Mimikyu        DRI            87          View Image
 435        Team Rocket's Dottler       DRI            88          View Image
 436       Team Rocket's Orbeetle       DRI            89          View Image
 437              Mankey                DRI            90          View Image
 438              Primeape              DRI            91          View Image
 439             Annihilape             DRI            92          View Image
 440       Team Rocket's Larvitar       DRI            94          View Image
 441        Team Rocket's Pupitar       DRI            95          View Image
 442       Team Rocket's Tyranitar      DRI            96          View Image
 443             Nosepass               DRI            97          View Image
 444             Probopass              DRI            98          View Image
 445              Meditite              DRI            99          View Image
 446             Medicham               DRI            100         View Image
 447             Regirock ex            DRI            101         View Image
 448        Team Rocket's Ekans         DRI            112         View Image
 449        Team Rocket's Arbok         DRI            113         View Image
 450      Team Rocket's Nidoran■        DRI            114         View Image
 451       Team Rocket's Nidorina       DRI            115         View Image
 452      Team Rocket's Nidoqueen       DRI            116         View Image
 453      Team Rocket's Nidoran■        DRI            117         View Image
 454       Team Rocket's Nidorino       DRI            118         View Image
 455      Team Rocket's Nidoking ex     DRI            119         View Image
 456        Team Rocket's Zubat         DRI            120         View Image
 457        Team Rocket's Golbat        DRI            121         View Image
 458      Team Rocket's Crobat ex       DRI            122         View Image
 459        Team Rocket's Grimer        DRI            123         View Image
 460         Team Rocket's Muk          DRI            124         View Image
 461        Team Rocket's Koffing       DRI            125         View Image
 462       Team Rocket's Weezing        DRI            126         View Image
Card ID         Card Name            Expansion   Collection No.       Link


 463      Team Rocket's Murkrow        DRI            127         View Image
 464       Team Rocket's Sneasel       DRI            128         View Image
 465             Forretress            DRI            140         View Image
 466             Skarmory              DRI            141         View Image
 467            Zamazenta              DRI            146         View Image
 468       Team Rocket's Rattata       DRI            147         View Image
 469       Team Rocket's Raticate      DRI            148         View Image
 470       Team Rocket's Meowth        DRI            149         View Image
 471      Team Rocket's Persian ex     DRI            150         View Image
 472            Kangaskhan             DRI            151         View Image
 473       Team Rocket's Porygon       DRI            153         View Image
 474      Team Rocket's Porygon2       DRI            154         View Image
 475      Team Rocket's Porygon-Z      DRI            155         View Image
 476              Taillow              DRI            156         View Image
 477              Swellow              DRI            157         View Image
 478           Squawkabilly            DRI            160         View Image
 479               Snivy               BLK             1          View Image
 480              Servine              BLK             2          View Image
 481            Serperior ex           BLK             3          View Image
 482             Pansage               BLK             4          View Image
 483             Simisage              BLK             5          View Image
 484               Petilil             BLK             6          View Image
 485              Lilligant            BLK             7          View Image
 486             Maractus              BLK             8          View Image
 487             Karrablast            BLK             9          View Image
 488             Foongus               BLK            10          View Image
 489            Amoonguss              BLK            11          View Image
 490               Victini             BLK            12          View Image
 491             Darumaka              BLK            13          View Image
 492            Darmanitan             BLK            14          View Image
 493              Litwick              WHT            16          View Image
 494             Lampent               WHT            17          View Image
 495            Chandelure             WHT            18          View Image
Card ID   Card Name      Expansion   Collection No.       Link


 496       Larvesta        BLK            15          View Image
 497      Volcarona        BLK            16          View Image
 498       Panpour         BLK            17          View Image
 499       Simipour        BLK            18          View Image
 500       Tympole         BLK            19          View Image
 501       Palpitoad       BLK            20          View Image
 502      Seismitoad       BLK            21          View Image
 503       Tirtouga        BLK            22          View Image
 504      Carracosta       BLK            23          View Image
 505      Alomomola        BLK            24          View Image
 506       Cubchoo         BLK            25          View Image
 507        Beartic        BLK            26          View Image
 508      Cryogonal        BLK            27          View Image
 509      Kyurem ex        BLK            28          View Image
 510        Emolga         BLK            29          View Image
 511       Tynamo          BLK            30          View Image
 512       Eelektrik       BLK            31          View Image
 513      Eelektross       BLK            32          View Image
 514      Thundurus        BLK            33          View Image
 515      Zekrom ex        BLK            34          View Image
 516        Munna          BLK            35          View Image
 517      Musharna         BLK            36          View Image
 518        Solosis        BLK            37          View Image
 519       Duosion         BLK            38          View Image
 520      Reuniclus        BLK            39          View Image
 521        Elgyem         BLK            40          View Image
 522      Beheeyem         BLK            41          View Image
 523        Golett         BLK            42          View Image
 524        Golurk         BLK            43          View Image
 525      Meloetta ex      BLK            44          View Image
 526        Drilbur        BLK            45          View Image
 527      Excadrill ex     BLK            46          View Image
 528       Timburr         BLK            47          View Image
Card ID   Card Name       Expansion   Collection No.       Link


 529        Gurdurr         BLK            48          View Image
 530       Conkeldurr       BLK            49          View Image
 531         Throh          BLK            50          View Image
 532        Dwebble         BLK            51          View Image
 533         Crustle        BLK            52          View Image
 534        Landorus        BLK            53          View Image
 535        Venipede        BLK            54          View Image
 536       Whirlipede       BLK            55          View Image
 537       Scolipede        BLK            56          View Image
 538         Sandile        BLK            57          View Image
 539        Krokorok        BLK            58          View Image
 540       Krookodile       BLK            59          View Image
 541         Vullaby        WHT            63          View Image
 542       Mandibuzz        WHT            64          View Image
 543       Escavalier       BLK            60          View Image
 544        Pawniard        BLK            64          View Image
 545        Bisharp         BLK            65          View Image
 546        Cobalion        BLK            66          View Image
 547      Genesect ex       BLK            67          View Image
 548         Axew           BLK            68          View Image
 549        Fraxure         BLK            69          View Image
 550        Haxorus         BLK            70          View Image
 551         Pidove         BLK            71          View Image
 552        Tranquill       BLK            72          View Image
 553        Unfezant        BLK            73          View Image
 554         Audino         BLK            74          View Image
 555        Minccino        BLK            75          View Image
 556        Cinccino        BLK            76          View Image
 557       Sewaddle         WHT             1          View Image
 558       Swadloon         WHT             2          View Image
 559       Leavanny         WHT             3          View Image
 560        Cottonee        WHT             4          View Image
 561      Whimsicott ex     WHT             5          View Image
Card ID   Card Name     Expansion   Collection No.       Link


 562       Deerling       WHT             6          View Image
 563       Sawsbuck       WHT             7          View Image
 564       Shelmet        WHT             8          View Image
 565       Accelgor       WHT             9          View Image
 566        Virizion      WHT            10          View Image
 567         Tepig        WHT            11          View Image
 568        Pignite       WHT            12          View Image
 569        Emboar        WHT            13          View Image
 570       Pansear        WHT            14          View Image
 571       Simisear       WHT            15          View Image
 572       Heatmor        WHT            19          View Image
 573      Reshiram ex     WHT            20          View Image
 574       Oshawott       WHT            21          View Image
 575        Dewott        WHT            22          View Image
 576       Samurott       WHT            23          View Image
 577       Basculin       WHT            24          View Image
 578       Ducklett       WHT            25          View Image
 579       Swanna         WHT            26          View Image
 580        Vanillite     WHT            27          View Image
 581       Vanillish      WHT            28          View Image
 582       Vanilluxe      WHT            29          View Image
 583       Keldeo ex      WHT            30          View Image
 584         Blitzle      WHT            31          View Image
 585       Zebstrika      WHT            32          View Image
 586         Joltik       WHT            33          View Image
 587      Galvantula      WHT            34          View Image
 588        Stunfisk      WHT            35          View Image
 589        Woobat        WHT            36          View Image
 590       Swoobat        WHT            37          View Image
 591        Sigilyph      WHT            38          View Image
 592       Yamask         WHT            39          View Image
 593      Cofagrigus      WHT            40          View Image
 594        Gothita       WHT            41          View Image
Card ID   Card Name      Expansion   Collection No.       Link


 595       Gothorita       WHT            42          View Image
 596       Gothitelle      WHT            43          View Image
 597         Frillish      WHT            44          View Image
 598      Jellicent ex     WHT            45          View Image
 599      Roggenrola       WHT            46          View Image
 600        Boldore        WHT            47          View Image
 601        Gigalith       WHT            48          View Image
 602         Sawk          WHT            49          View Image
 603        Archen         WHT            50          View Image
 604       Archeops        WHT            51          View Image
 605        Mienfoo        WHT            52          View Image
 606       Mienshao        WHT            53          View Image
 607       Terrakion       WHT            54          View Image
 608        Purrloin       WHT            55          View Image
 609        Liepard        WHT            56          View Image
 610        Scraggy        WHT            57          View Image
 611        Scrafty        WHT            58          View Image
 612        Trubbish       WHT            59          View Image
 613       Garbodor        WHT            60          View Image
 614         Zorua         WHT            61          View Image
 615        Zoroark        WHT            62          View Image
 616         Deino         WHT            65          View Image
 617       Zweilous        WHT            66          View Image
 618      Hydreigon ex     WHT            67          View Image
 619       Ferroseed       WHT            68          View Image
 620       Ferrothorn      WHT            69          View Image
 621         Klink         BLK            61          View Image
 622         Klang         BLK            62          View Image
 623       Klinklang       BLK            63          View Image
 624        Durant         WHT            70          View Image
 625       Druddigon       WHT            71          View Image
 626         Patrat        WHT            72          View Image
 627       Watchog         WHT            73          View Image
Card ID        Card Name           Expansion   Collection No.       Link


 628             Lillipup            WHT            74          View Image
 629             Herdier             WHT            75          View Image
 630            Stoutland            WHT            76          View Image
 631          Bouffalant ex          WHT            77          View Image
 632              Rufflet            BLK            77          View Image
 633             Braviary            BLK            78          View Image
 634            Tornadus             WHT            78          View Image
 635         Steven's Baltoy         DRI            83          View Image
 636         Steven's Claydol        DRI            84          View Image
 637         Steven's Carbink        DRI            86          View Image
 638        Steven's Skarmory        DRI            142         View Image
 639         Steven's Beldum         DRI            143         View Image
 640         Steven's Metang         DRI            144         View Image
 641      Steven's Metagross ex      DRI            145         View Image
 642         Marnie's Purrloin       DRI            130         View Image
 643         Marnie's Liepard        DRI            131         View Image
 644        Marnie's Scraggy         DRI            132         View Image
 645         Marnie's Scrafty        DRI            133         View Image
 646        Marnie's Impidimp        DRI            134         View Image
 647        Marnie's Morgrem         DRI            135         View Image
 648      Marnie's Grimmsnarl ex     DRI            136         View Image
 649        Marnie's Morpeko         DRI            137         View Image
 650            Bulbasaur            MEG             1          View Image
 651             Ivysaur             MEG             2          View Image
 652        Mega Venusaur ex         MEG             3          View Image
 653            Exeggcute            MEG             4          View Image
 654            Exeggutor            MEG             5          View Image
 655              Celebi             MEG            12          View Image
 656             Seedot              MEG            13          View Image
